SBC Number,WER_baseline,WDER_baseline,cpWER_baseline,WER_dlm_500,WDER_dlm_500,cpWER_dlm_500,WER_dlm_50,WDER_dlm_50,cpWER_dlm_50,WER_dlm_20,WDER_dlm_20,cpWER_dlm_20,WER_dlm_adapt,WDER_dlm_adapt,cpWER_dlm_adapt
SBC005,0.1819543242231374,0.036286919831223625,0.21302882815424934,0.1819543242231374,0.032489451476793246,0.20816173717708725,0.1819543242231374,0.038818565400843885,0.2134032197678772,0.1819543242231374,0.04472573839662447,0.22276301010857358,0.1819543242231374,0.03755274261603375,0.21377761138150506
SBC006,0.20980495519240908,0.08550472881683073,0.31189597610261816,0.20980495519240908,0.0754680563597761,0.29748726058689157,0.20980495519240908,0.08318857363443351,0.302758741873133,0.20980495519240908,0.08724184520362864,0.30996309963099633,0.20980495519240908,0.08782088399922795,0.3141802846599895
SBC007,0.1529175050301811,0.05800711743772242,0.2391012743125419,0.1529175050301811,0.06512455516014234,0.23641851106639838,0.1529175050301811,0.059430604982206404,0.23038229376257546,0.1529175050301811,0.05231316725978648,0.22937625754527163,0.1529175050301811,0.047330960854092524,0.20959087860496312
SBC009,0.253388090349076,0.07610208816705337,0.3338809034907598,0.253388090349076,0.07192575406032482,0.317864476386037,0.253388090349076,0.08259860788863109,0.33634496919917867,0.253388090349076,0.09187935034802784,0.3490759753593429,0.253388090349076,0.09234338747099768,0.3457905544147844
SBC017,0.23350515463917526,0.09878516624040921,0.35077319587628863,0.23350515463917526,0.07352941176470588,0.31391752577319587,0.23350515463917526,0.08695652173913043,0.32963917525773195,0.23350515463917526,0.09462915601023018,0.340979381443299,0.23350515463917526,0.09430946291560102,0.3365979381443299
SBC022,0.27389558232931727,0.10236600676001932,0.37630522088353413,0.27389558232931727,0.11830033800096572,0.41164658634538154,0.27389558232931727,0.1110574601641719,0.3887550200803213,0.27389558232931727,0.10043457267020763,0.3682730923694779,0.27389558232931727,0.09802028005794303,0.3706827309236948
SBC024,0.23378212974296206,0.19297423887587822,0.49367605059159525,0.23378212974296206,0.2154566744730679,0.4920440636474908,0.23378212974296206,0.19859484777517564,0.48674010607915136,0.23378212974296206,0.21217798594847775,0.5022439820481436,0.23378212974296206,0.20562060889929742,0.5079559363525091
SBC028,0.1763888888888889,0.4951583355142633,0.9643518518518519,0.1763888888888889,0.49882229782779375,0.950925925925926,0.1763888888888889,0.49201779638838,0.9469907407407407,0.1763888888888889,0.4990840094216174,0.9180555555555555,0.1763888888888889,0.45302276890866267,0.7703703703703704
SBC029,0.27180919639020196,0.11194610002591344,0.3947142243231629,0.27180919639020196,0.14977973568281938,0.44800171895143964,0.27180919639020196,0.09613889608706919,0.3749462827675118,0.27180919639020196,0.11090956206271055,0.3944993553932101,0.27180919639020196,0.10831821715470329,0.38912763214439194
SBC034,0.3447867298578199,0.08647342995169083,0.4048183254344392,0.3447867298578199,0.078743961352657,0.4020537124802528,0.3447867298578199,0.0821256038647343,0.405608214849921,0.3447867298578199,0.08502415458937199,0.4052132701421801,0.3447867298578199,0.0821256038647343,0.40244865718799366
SBC041,0.19608493696084936,0.02216278181123424,0.22130059721300596,0.19608493696084936,0.13106610622850592,0.3858659588586596,0.19608493696084936,0.027894535727932747,0.2242866622428666,0.19608493696084936,0.030187237294612153,0.2242866622428666,0.19608493696084936,0.027512418800152847,0.22561380225613803
SBC043,0.26149183364202727,0.04831568816169394,0.31352079474659034,0.26149183364202727,0.12396535129932627,0.40410843576359656,0.26149183364202727,0.0519730510105871,0.3175618791042263,0.26149183364202727,0.04985563041385948,0.3131840377167873,0.26149183364202727,0.05043310875842156,0.31402593029129483
SBC044,0.13566704307146313,0.025734654842636064,0.16744636231650267,0.13566704307146313,0.040166927490871154,0.18890143571543797,0.13566704307146313,0.021735350373848026,0.15696080012905309,0.13566704307146313,0.0231264127977743,0.16067107597999677,0.13566704307146313,0.01895322552599548,0.1567994837877077
SBC045,0.30337624483847464,0.4838446918273147,1.0065581734272528,0.30337624483847464,0.49090415422210154,0.9674520281758562,0.30337624483847464,0.4721694270974749,0.9706096672334223,0.30337624483847464,0.48303013847407006,0.9951420937575904,0.30337624483847464,0.4824871029052403,1.005586592178771
SBC047,0.19547968261601348,0.08577633007600434,0.30848761721567686,0.19547968261601348,0.08496199782844734,0.2918970906467901,0.19547968261601348,0.08523344191096634,0.295022842029334,0.19547968261601348,0.08659066232356134,0.3031978841067564,0.19547968261601348,0.0743756786102063,0.2789132002885309
SBC058,0.30711175616835995,0.30344827586206896,0.7039187227866474,0.30711175616835995,0.34228675136116155,0.7193033381712627,0.30711175616835995,0.3117967332123412,0.6734397677793904,0.30711175616835995,0.3143375680580762,0.6806966618287373,0.30711175616835995,0.31252268602540834,0.6949201741654571
SBC060,0.37122969837587005,0.028741328047571853,0.3866976024748647,0.37122969837587005,0.04426825239511067,0.40422789378705853,0.37122969837587005,0.036339610175090846,0.3905645784996133,0.37122969837587005,0.030393128510075983,0.3872131992781645,0.37122969837587005,0.03303600925008259,0.38953338489301365
